iter	MultiClass
0	1.422810912
1	1.237025467
2	1.156100468
3	1.100271311
4	1.069806415
5	1.049319652
6	1.023120534
7	1.007196342
8	0.9889321229
9	0.9724034158
10	0.957770387
11	0.9490581058
12	0.9403454611
13	0.9314052078
14	0.9224834083
15	0.9145520706
16	0.9083790478
17	0.9014922963
18	0.8947096113
19	0.8865831668
20	0.8769214082
21	0.8706052439
22	0.8675131632
23	0.8616851266
24	0.854725417
25	0.846238976
26	0.8408316023
27	0.8389474726
28	0.8313287355
29	0.8246828306
30	0.8206024566
31	0.8137584744
32	0.8077852542
33	0.7978619109
34	0.7881162846
35	0.7774023426
36	0.7715295174
37	0.7671440137
38	0.7598467161
39	0.7579933549
40	0.7537615769
41	0.7490266475
42	0.7454913485
43	0.7429877052
44	0.737521135445	0.7353765889446	0.7261691078447	0.7236788353448	0.71836766
49	0.7149990862
50	0.7100458361
51	0.7046434219
52	0.7000288103
53	0.6949508169
54	0.6890955015
55	0.6864458212
56	0.6820544389
57	0.6749277956
58	0.6691095156
59	0.6664124631
60	0.6638045071
61	0.6600023135
62	0.6577231261
63	0.6544450227
64	0.6516649709
65	0.6481419471
66	0.6419803942
67	0.6364357173
68	0.6331418549
69	0.6301049126
70	0.6266147652771	0.6227490895772	0.619309553
73	0.6155491542
74	0.6110299041
75	0.6071162466
76	0.6034884421
77	0.6009998908
78	0.5990810824
79	0.5966898612
80	0.5952572443
81	0.5926354975
82	0.5882103144883	0.5839296309884	0.580113673
85	0.5789309564
86	0.5732722147
87	0.5694471858
88	0.5652491737
89	0.5614687402
90	0.5589308991
91	0.555935378
92	0.5527973937
93	0.5495699194
94	0.5473954654
95	0.5441052755
96	0.54219522
97	0.5383096095
98	0.5336316047
99	0.5312346294
56
