iter	Passed	Remaining
0	157	15602
1	171	8393
2	185	5988
3	199	4778
4	212	4039
5	225	3535
6	242	3221
7	258	2968
8	274	2772
9	289	2602
10	303	2455
11	318	2334
12	331	2218
13	348	2141
14	362	2053
15	378	1984
16	393	1922
17	407	1858
18	423	1805
19	437	1749
20	448	1686
21	460	1633
22	475	1590
23	489	1551
24	506	1520
25	518	1476
26	534	1446
27	548	1409
28	563	1379
29	577	1347
30	590	1313
31	602	1280
32	615	1249
33	629	1221
34	642	1192
35	656	1166
36	668	1138
37	682	1113
38	699	1093
39	712	1069
40	725	1044
41	741	1024
42	757	1003
43	773	984
44	788	963445	798	937446	813	917447	829	898448	842	876449	855	855550	872	837551	886	817552	900	798553	912	777554	926	758555	939	738556	953	719557	967	700558	979	680559	992	661660	1008	644661	1022	626662	1035	607663	1048	589664	1064	573665	1076	554666	1089	536667	1103	519668	1117	501669	1129	483770	1141	466771	1155	449772	1169	432
73	1182	415
74	1197	399
75	1209	381
76	1223	365
77	1238	349
78	1251	332
79	1264	316
80	1278	299881	1291	283882	1305	267883	1324	252884	1340	236885	1354	220886	1369	204887	1383	188
88	1396	172
89	1410	156
90	1425	141
91	1438	125
92	1451	109
93	1465	93
94	1479	77
95	1494	62
96	1508	46
97	1518	30
98	1527	15
99	1535	0
